Specimen,Taxon,ID-Type,ExternalCode,Source
JHU-000068,culex pipiens,DNA,BELV,WILD_CAUGHT
JHU-000069,aedes japonicus,DNA,BELV,WILD_CAUGHT
JHU-000070,aedes triseriatus_sl,DNA,BELV,WILD_CAUGHT
JHU-000071,aedes albopictus,DNA,PTUX,WILD_CAUGHT
JHU-000072,aedes japonicus,DNA,PTUX,WILD_CAUGHT
JHU-000073,aedes vexans,DNA,PTUX,WILD_CAUGHT
JHU-000074,aedes vexans,DNA,PTUX,WILD_CAUGHT
JHU-000075,anopheles quadrimaculatus,DNA,PTUX,WILD_CAUGHT
JHU-000076,aedes vexans,DNA,DDSP,WILD_CAUGHT
JHU-000077,aedes vexans,DNA,DDSP,WILD_CAUGHT
JHU-000078,aedes albopictus,DNA,DDSP,WILD_CAUGHT
JHU-000079,anopheles punctipennis,DNA,DDSP,WILD_CAUGHT
JHU-000080,anopheles punctipennis,DNA,DDSP,WILD_CAUGHT
JHU-000081,anopheles punctipennis,DNA,DDSP,WILD_CAUGHT
JHU-000082,anopheles punctipennis,DNA,DDSP,WILD_CAUGHT
JHU-000083,anopheles punctipennis,DNA,DDSP,WILD_CAUGHT
JHU-000084,aedes albopictus,Human,DDSP,WILD_CAUGHT
JHU-000085,culex salinarius,Human,DDSP,WILD_CAUGHT
JHU-000086,culex salinarius,Human,DDSP,WILD_CAUGHT
JHU-000087,culex salinarius,DNA,DDSP,WILD_CAUGHT
JHU-000088,aedes vexans,DNA,DDSP,WILD_CAUGHT
JHU-000089,anopheles crucians_e,DNA,DDSP,WILD_CAUGHT
JHU-000090,anopheles crucians_e,DNA,DDSP,WILD_CAUGHT
JHU-000091,culex salinarius,DNA,DDSP,WILD_CAUGHT
JHU-000092,aedes cinereus,Human,DDSP,WILD_CAUGHT
JHU-000093,aedes vexans,DNA,DDSP,WILD_CAUGHT
JHU-000094,aedes vexans,DNA,DDSP,WILD_CAUGHT
JHU-000095,aedes cinereus,Human,DDSP,WILD_CAUGHT
JHU-000096,aedes vexans,DNA,DDSP,WILD_CAUGHT
JHU-000097,culex pipiens,DNA,DDSP,WILD_CAUGHT
JHU-000098,anopheles crucians_c,DNA,DDSP,WILD_CAUGHT
JHU-000099,aedes albopictus,DNA,DDSP,WILD_CAUGHT
JHU-000100,aedes spp,Human,DDSP,WILD_CAUGHT
JHU-000101,aedes vexans,Human,DDSP,WILD_CAUGHT
JHU-000102,aedes vexans,Human,DDSP,WILD_CAUGHT
JHU-000103,aedes cinereus,Human,DDSP,WILD_CAUGHT
JHU-000104,aedes vexans,DNA,DDSP,WILD_CAUGHT
JHU-000105,culex pipiens,DNA,DDSP,WILD_CAUGHT
JHU-000106,culex erraticus,DNA,DDSP,WILD_CAUGHT
JHU-000107,aedes albopictus,DNA,BELV,WILD_CAUGHT
JHU-000108,culex salinarius,Human,BELV,WILD_CAUGHT
JHU-000109,culex quinquefasciatus,Human,BELV,WILD_CAUGHT
JHU-000110,culex spp,Human,BELV,WILD_CAUGHT
JHU-000111,aedes albopictus,Human,PTUX,WILD_CAUGHT
JHU-000112,aedes albopictus,DNA,PTUX,WILD_CAUGHT
JHU-000113,culex pipiens,DNA,PTUX,WILD_CAUGHT
JHU-000114,coquillettidia perturbans,DNA,CLAY,WILD_CAUGHT
JHU-000115,culex erraticus,DNA,CLAY,WILD_CAUGHT
JHU-000116,aedes albopictus,Human,CLAY,WILD_CAUGHT
JHU-000117,aedes albopictus,Human,CLAY,WILD_CAUGHT
JHU-000118,aedes vexans,Human,CLAY,WILD_CAUGHT
JHU-000119,aedes vexans,Human,CLAY,WILD_CAUGHT
JHU-000120,aedes vexans,DNA,CLAY,WILD_CAUGHT
JHU-000121,aedes albopictus,DNA,CLAY,WILD_CAUGHT
JHU-000122,culex erraticus,Human,CLAY,WILD_CAUGHT
JHU-000123,culex erraticus,DNA,CLAY,WILD_CAUGHT
JHU-000124,coquillettidia perturbans,Human,CLAY,WILD_CAUGHT
JHU-000125,culex nigripalpus,Human,CLAY,WILD_CAUGHT
JHU-000126,culex nigripalpus,Human,CLAY,WILD_CAUGHT
JHU-000127,culex nigripalpus,Human,CLAY,WILD_CAUGHT
JHU-000128,aedes trivittatus,DNA,CLAY,WILD_CAUGHT
JHU-000129,aedes vexans,DNA,CLAY,WILD_CAUGHT
JHU-000130,coquillettidia perturbans,DNA,CLAY,WILD_CAUGHT
JHU-000131,aedes albopictus,DNA,CLAY,WILD_CAUGHT
JHU-000132,aedes albopictus,Human,RUCK,WILD_CAUGHT
JHU-000133,aedes albopictus,Human,RUCK,WILD_CAUGHT
JHU-000134,culex spp,Human,RUCK,WILD_CAUGHT
JHU-000135,culex spp,Human,RUCK,WILD_CAUGHT
JHU-000136,aedes vexans,DNA,RUCK,WILD_CAUGHT
JHU-000137,aedes albopictus,Human,RUCK,WILD_CAUGHT
JHU-000138,aedes spp,Human,RUCK,WILD_CAUGHT
JHU-000139,aedes albopictus,DNA,RUCK,WILD_CAUGHT
JHU-000140,aedes albopictus,Human,RUCK,WILD_CAUGHT
JHU-000141,aedes albopictus,Human,RUCK,WILD_CAUGHT
JHU-000142,culex spp,Human,RUCK,WILD_CAUGHT
JHU-000143,culex spp,Human,RUCK,WILD_CAUGHT
JHU-000144,aedes albopictus,DNA,RUCK,WILD_CAUGHT
JHU-000145,aedes albopictus,DNA,RUCK,WILD_CAUGHT
JHU-000146,aedes albopictus,DNA,HAML,WILD_CAUGHT
JHU-000147,culex pipiens,DNA,HAML,WILD_CAUGHT
JHU-000148,culex pipiens,DNA,HAML,WILD_CAUGHT
JHU-000149,culex pipiens,DNA,HAML,WILD_CAUGHT
JHU-000150,culex pipiens,DNA,HAML,WILD_CAUGHT
JHU-000151,aedes albopictus,DNA,HAML,WILD_CAUGHT
JHU-000152,culex salinarius,DNA,HAML,WILD_CAUGHT
JHU-000153,culex salinarius,DNA,HAML,WILD_CAUGHT
JHU-000154,culex pipiens,DNA,BOLL,WILD_CAUGHT
JHU-000155,culex pipiens,DNA,BOLL,WILD_CAUGHT
JHU-000156,culex pipiens,DNA,BOLL,WILD_CAUGHT
JHU-000157,culex pipiens,DNA,BOLL,WILD_CAUGHT
JHU-000158,aedes albopictus,DNA,BOLL,WILD_CAUGHT
JHU-000159,aedes albopictus,DNA,BOLL,WILD_CAUGHT
JHU-000160,aedes vexans,DNA,BOLL,WILD_CAUGHT
JHU-000161,aedes albopictus,DNA,BOLL,WILD_CAUGHT
JHU-000162,psorophora columbiae,DNA,BOLL,WILD_CAUGHT
JHU-000163,culex spp,Human,BOLL,WILD_CAUGHT
JHU-000164,culex pipiens,DNA,BOLL,WILD_CAUGHT
JHU-000165,culex pipiens,DNA,BOLL,WILD_CAUGHT
JHU-000166,culex pipiens,DNA,BOLL,WILD_CAUGHT
JHU-000167,culex pipiens,DNA,BOLL,WILD_CAUGHT
JHU-000168,culex pipiens,DNA,BOLL,WILD_CAUGHT
JHU-000169,culex pipiens,DNA,BOLL,WILD_CAUGHT
JHU-000170,culex pipiens,DNA,BOLL,WILD_CAUGHT
JHU-000171,culex pipiens,DNA,BOLL,WILD_CAUGHT
JHU-000172,culex pipiens,DNA,BOLL,WILD_CAUGHT
JHU-000173,culex pipiens,DNA,BOLL,WILD_CAUGHT
JHU-000174,aedes albopictus,DNA,BOLL,WILD_CAUGHT
JHU-000175,aedes albopictus,DNA,BOLL,WILD_CAUGHT
JHU-000176,culex pipiens,DNA,BOLL,WILD_CAUGHT
JHU-000177,culex pipiens,DNA,BOLL,WILD_CAUGHT
JHU-000178,culex pipiens,DNA,BOLL,WILD_CAUGHT
JHU-000179,culex pipiens,DNA,ANNX,WILD_CAUGHT
JHU-000180,culex pipiens,DNA,ANNX,WILD_CAUGHT
JHU-000181,culex pipiens,DNA,ANNX,WILD_CAUGHT
JHU-000182,culex pipiens,DNA,ANNX,WILD_CAUGHT
JHU-000183,culex pipiens,DNA,ANNX,WILD_CAUGHT
JHU-000184,culex restuans,DNA,ANNX,WILD_CAUGHT
JHU-000185,culex restuans,DNA,ANNX,WILD_CAUGHT
JHU-000186,culex pipiens,DNA,ANNX,WILD_CAUGHT
JHU-000187,culex pipiens,DNA,ANNX,WILD_CAUGHT
JHU-000188,culex pipiens,DNA,GULF,WILD_CAUGHT
JHU-000189,aedes sollicitans,DNA,GULF,WILD_CAUGHT
JHU-000190,aedes sollicitans,DNA,GULF,WILD_CAUGHT
JHU-000191,aedes sollicitans,DNA,GULF,WILD_CAUGHT
JHU-000192,aedes sollicitans,DNA,GULF,WILD_CAUGHT
JHU-000193,aedes sollicitans,DNA,GULF,WILD_CAUGHT
JHU-000194,aedes sollicitans,DNA,GULF,WILD_CAUGHT
JHU-000195,aedes sollicitans,DNA,GULF,WILD_CAUGHT
JHU-000196,psorophora columbiae,DNA,GULF,WILD_CAUGHT
JHU-000197,psorophora columbiae,DNA,GULF,WILD_CAUGHT
JHU-000198,psorophora columbiae,DNA,GULF,WILD_CAUGHT
JHU-000199,aedes sollicitans,DNA,GULF,WILD_CAUGHT
JHU-000200,aedes sollicitans,DNA,GULF,WILD_CAUGHT
JHU-000201,psorophora columbiae,DNA,GULF,WILD_CAUGHT
JHU-000202,psorophora columbiae,DNA,GULF,WILD_CAUGHT
JHU-000203,culex pipiens,DNA,GULF,WILD_CAUGHT
JHU-000204,culex salinarius,DNA,GULF,WILD_CAUGHT
JHU-000205,culex pipiens,DNA,GULF,WILD_CAUGHT
JHU-000206,aedes sollicitans,DNA,GULF,WILD_CAUGHT
JHU-000207,anopheles crucians_c,DNA,GULF,WILD_CAUGHT
JHU-000208,mansonia titillans,DNA,GULF,WILD_CAUGHT
JHU-000209,psorophora columbiae,DNA,GULF,WILD_CAUGHT
JHU-000210,aedes atlanticus,DNA,GULF,WILD_CAUGHT
JHU-000211,aedes atlanticus,DNA,GULF,WILD_CAUGHT
JHU-000212,aedes taeniorhynchus,DNA,GULF,WILD_CAUGHT
JHU-000213,aedes albopictus,DNA,AFRH,WILD_CAUGHT
JHU-000214,aedes albopictus,DNA,AFRH,WILD_CAUGHT
JHU-000215,aedes albopictus,DNA,AFRH,WILD_CAUGHT
JHU-000216,aedes albopictus,DNA,AFRH,WILD_CAUGHT
JHU-000217,anopheles quadrimaculatus,DNA,APGE,WILD_CAUGHT
JHU-000218,anopheles quadrimaculatus,DNA,APGE,WILD_CAUGHT
JHU-000219,anopheles quadrimaculatus,DNA,APGE,WILD_CAUGHT
JHU-000220,anopheles quadrimaculatus,DNA,APGE,WILD_CAUGHT
JHU-000221,anopheles quadrimaculatus,DNA,APGE,WILD_CAUGHT
JHU-000222,coquillettidia perturbans,DNA,APGE,WILD_CAUGHT
JHU-000223,anopheles crucians_b,DNA,APGE,WILD_CAUGHT
JHU-000224,anopheles crucians_b,DNA,APGE,WILD_CAUGHT
JHU-000225,anopheles crucians_b,DNA,APGE,WILD_CAUGHT
JHU-000226,psorophora columbiae,DNA,FLEE,WILD_CAUGHT
JHU-000227,psorophora columbiae,DNA,FLEE,WILD_CAUGHT
JHU-000228,psorophora columbiae,DNA,FLEE,WILD_CAUGHT
JHU-000229,psorophora columbiae,DNA,FLEE,WILD_CAUGHT
JHU-000230,psorophora columbiae,DNA,FLEE,WILD_CAUGHT
JHU-000231,aedes albopictus,DNA,FLEE,WILD_CAUGHT
JHU-000232,culex erraticus,DNA,FLEE,WILD_CAUGHT
JHU-000233,culex erraticus,DNA,FLEE,WILD_CAUGHT
JHU-000234,culex erraticus,DNA,FLEE,WILD_CAUGHT
JHU-000235,culex erraticus,DNA,FLEE,WILD_CAUGHT
JHU-000236,aedes albopictus,DNA,PIKT,WILD_CAUGHT
JHU-000237,psorophora columbiae,DNA,PIKT,WILD_CAUGHT
JHU-000238,psorophora columbiae,DNA,PIKT,WILD_CAUGHT
JHU-000239,psorophora columbiae,DNA,PIKT,WILD_CAUGHT
JHU-000240,psorophora columbiae,DNA,PIKT,WILD_CAUGHT
JHU-000241,culex restuans,DNA,PIKT,WILD_CAUGHT
JHU-000242,aedes albopictus,Human,REDS,WILD_CAUGHT
JHU-000243,aedes albopictus,DNA,DSCR,WILD_CAUGHT
JHU-000244,aedes albopictus,DNA,DSCR,WILD_CAUGHT
JHU-000245,aedes albopictus,DNA,DSCR,WILD_CAUGHT
JHU-000246,aedes albopictus,DNA,DSCR,WILD_CAUGHT
JHU-000247,aedes albopictus,DNA,DSCR,WILD_CAUGHT
JHU-000248,aedes albopictus,DNA,DSCR,WILD_CAUGHT
JHU-000249,aedes albopictus,DNA,DSCR,WILD_CAUGHT
JHU-000250,aedes albopictus,DNA,DSCR,WILD_CAUGHT
JHU-000251,aedes albopictus,DNA,DSCR,WILD_CAUGHT
JHU-000252,aedes albopictus,DNA,DSCR,WILD_CAUGHT
JHU-000253,aedes albopictus,DNA,DSCR,WILD_CAUGHT
JHU-000254,aedes albopictus,DNA,DSCR,WILD_CAUGHT
JHU-000255,culex pipiens,DNA,BETH,WILD_CAUGHT
JHU-000256,culex pipiens,DNA,BETH,WILD_CAUGHT
JHU-000257,aedes albopictus,DNA,BETH,WILD_CAUGHT
JHU-000258,psorophora ferox,DNA,BENN,WILD_CAUGHT
JHU-000259,culex nigripalpus,DNA,BENN,WILD_CAUGHT
JHU-000260,culex coronator,DNA,BENN,WILD_CAUGHT
JHU-000261,aedes albopictus,DNA,BENN,WILD_CAUGHT
JHU-000262,aedes albopictus,DNA,BENN,WILD_CAUGHT
JHU-000263,culex coronator,DNA,BENN,WILD_CAUGHT
JHU-000264,culex erraticus,DNA,BENN,WILD_CAUGHT
JHU-000265,aedes albopictus,DNA,BENN,WILD_CAUGHT
JHU-000266,aedes albopictus,DNA,BENN,WILD_CAUGHT
JHU-000267,culex erraticus,DNA,BENN,WILD_CAUGHT
JHU-000268,culex erraticus,DNA,BENN,WILD_CAUGHT
JHU-000269,aedes albopictus,DNA,BENN,WILD_CAUGHT
JHU-000270,aedes albopictus,DNA,BENN,WILD_CAUGHT
JHU-000271,culex nigripalpus,DNA,BENN,WILD_CAUGHT
JHU-000272,culex salinarius,DNA,BENN,WILD_CAUGHT
JHU-000273,anopheles punctipennis,DNA,BENN,WILD_CAUGHT
JHU-000274,anopheles punctipennis,DNA,BENN,WILD_CAUGHT
JHU-000275,culex erraticus,DNA,BENN,WILD_CAUGHT
JHU-000276,culex coronator,DNA,BENN,WILD_CAUGHT
JHU-000277,aedes albopictus,DNA,BENN,WILD_CAUGHT
JHU-000278,aedes albopictus,DNA,BENN,WILD_CAUGHT
JHU-000279,culex coronator,DNA,BENN,WILD_CAUGHT
JHU-000280,culex coronator,DNA,BENN,WILD_CAUGHT
JHU-000281,culex coronator,DNA,BENN,WILD_CAUGHT
JHU-000282,culex coronator,DNA,BENN,WILD_CAUGHT
JHU-000283,culex coronator,DNA,BENN,WILD_CAUGHT
JHU-000284,culex coronator,DNA,BENN,WILD_CAUGHT
JHU-000285,culex coronator,DNA,BENN,WILD_CAUGHT
JHU-000286,culex coronator,DNA,BENN,WILD_CAUGHT
JHU-000287,anopheles punctipennis,DNA,BENN,WILD_CAUGHT
JHU-000288,anopheles crucians_a,DNA,BENN,WILD_CAUGHT
JHU-000289,anopheles crucians_a,DNA,BENN,WILD_CAUGHT
JHU-000290,anopheles punctipennis,DNA,BENN,WILD_CAUGHT
JHU-000291,aedes albopictus,DNA,BENN,WILD_CAUGHT
JHU-000292,aedes albopictus,DNA,BENN,WILD_CAUGHT
JHU-000293,psorophora columbiae,DNA,BENN,WILD_CAUGHT
JHU-000294,psorophora columbiae,DNA,BENN,WILD_CAUGHT
JHU-000295,aedes triseriatus_sl,DNA,BENN,WILD_CAUGHT
JHU-000296,psorophora ferox,DNA,BENN,WILD_CAUGHT
JHU-000297,psorophora ferox,DNA,BENN,WILD_CAUGHT
JHU-000298,psorophora columbiae,DNA,BENN,WILD_CAUGHT
JHU-000299,mansonia titillans,DNA,BENN,WILD_CAUGHT
JHU-000300,anopheles crucians_a,DNA,BENN,WILD_CAUGHT
JHU-000301,mansonia titillans,DNA,BENN,WILD_CAUGHT
JHU-000302,anopheles punctipennis,DNA,BENN,WILD_CAUGHT
JHU-000303,culex erraticus,DNA,RUCK,WILD_CAUGHT
JHU-000304,culex erraticus,DNA,RUCK,WILD_CAUGHT
JHU-000305,aedes albopictus,DNA,RUCK,WILD_CAUGHT
JHU-000306,aedes albopictus,DNA,RUCK,WILD_CAUGHT
JHU-000307,aedes albopictus,DNA,RUCK,WILD_CAUGHT
JHU-000308,culex erraticus,DNA,RUCK,WILD_CAUGHT
JHU-000309,culex erraticus,DNA,RUCK,WILD_CAUGHT
JHU-000310,culex erraticus,DNA,RUCK,WILD_CAUGHT
JHU-000311,aedes albopictus,DNA,RUCK,WILD_CAUGHT
JHU-000312,aedes albopictus,DNA,RUCK,WILD_CAUGHT
JHU-000313,culex restuans,DNA,RUCK,WILD_CAUGHT
JHU-000314,culex restuans,DNA,RUCK,WILD_CAUGHT
JHU-000315,culex restuans,DNA,RUCK,WILD_CAUGHT
JHU-000316,culex restuans,DNA,RUCK,WILD_CAUGHT
VOID,,,VOID,WILD_CAUGHT
JHU-000318,culex pipiens,DNA,BELV,WILD_CAUGHT
JHU-000319,culex pipiens,DNA,BELV,WILD_CAUGHT
JHU-000320,aedes albopictus,DNA,HAML,WILD_CAUGHT
JHU-000321,aedes albopictus,DNA,HAML,WILD_CAUGHT
JHU-000322,aedes albopictus,DNA,HAML,WILD_CAUGHT
JHU-000323,aedes albopictus,DNA,HAML,WILD_CAUGHT
JHU-000324,aedes albopictus,DNA,HAML,WILD_CAUGHT
JHU-000325,culex salinarius,DNA,HAML,WILD_CAUGHT
JHU-000326,culex salinarius,DNA,SGRT,WILD_CAUGHT
JHU-000327,culex pipiens,DNA,SGRT,WILD_CAUGHT
JHU-000328,culex pipiens,DNA,SGRT,WILD_CAUGHT
JHU-000329,culex salinarius,DNA,SGRT,WILD_CAUGHT
JHU-000330,culex pipiens,DNA,SGRT,WILD_CAUGHT
JHU-000331,aedes albopictus,DNA,SGRT,WILD_CAUGHT
JHU-000332,culex salinarius,DNA,SGRT,WILD_CAUGHT
JHU-000333,culex salinarius,DNA,SGRT,WILD_CAUGHT
JHU-000334,culex pipiens,DNA,BELV,WILD_CAUGHT
JHU-000335,culex pipiens,DNA,BELV,WILD_CAUGHT
JHU-000336,culex pipiens,DNA,BELV,WILD_CAUGHT
JHU-000337,culex pipiens,DNA,BELV,WILD_CAUGHT
JHU-000338,aedes albopictus,DNA,BELV,WILD_CAUGHT
JHU-000339,aedes taeniorhynchus,DNA,GTMO,WILD_CAUGHT
JHU-000340,psorophora pygmaea,DNA,GTMO,WILD_CAUGHT
JHU-000341,psorophora pygmaea,DNA,GTMO,WILD_CAUGHT
JHU-000342,aedes taeniorhynchus,DNA,GTMO,WILD_CAUGHT
JHU-000343,aedes taeniorhynchus,DNA,GTMO,WILD_CAUGHT
JHU-000344,deinocerites cuba-1,DNA,GTMO,WILD_CAUGHT
JHU-000345,deinocerites cancer,DNA,GTMO,WILD_CAUGHT
JHU-000346,aedes mediovittatus,DNA,GTMO,WILD_CAUGHT
JHU-000347,aedes albopictus,DNA,GTMO,WILD_CAUGHT
JHU-000348,deinocerites cuba-1,DNA,GTMO,WILD_CAUGHT
JHU-000349,deinocerites cuba-1,DNA,GTMO,WILD_CAUGHT
JHU-000350,deinocerites cancer,DNA,GTMO,WILD_CAUGHT
JHU-000351,psorophora pygmaea,DNA,GTMO,WILD_CAUGHT
JHU-000352,psorophora pygmaea,DNA,GTMO,WILD_CAUGHT
JHU-000353,psorophora pygmaea,Human,GTMO,WILD_CAUGHT
JHU-000354,aedes condolescens,DNA,GTMO,WILD_CAUGHT
JHU-000355,aedes taeniorhynchus,DNA,GTMO,WILD_CAUGHT
JHU-000356,deinocerites spp,Human,GTMO,WILD_CAUGHT
JHU-000357,deinocerites cancer,DNA,GTMO,WILD_CAUGHT
JHU-000358,aedes taeniorhynchus,DNA,GTMO,WILD_CAUGHT
JHU-000359,aedes taeniorhynchus,DNA,GTMO,WILD_CAUGHT
JHU-000360,culex bahamensis,DNA,GTMO,WILD_CAUGHT
JHU-000361,deinocerites cuba-1,DNA,GTMO,WILD_CAUGHT
JHU-000362,deinocerites cancer,DNA,GTMO,WILD_CAUGHT
JHU-000363,deinocerites cuba-1,DNA,GTMO,WILD_CAUGHT
JHU-000364,deinocerites cuba-1,DNA,GTMO,WILD_CAUGHT
JHU-000365,deinocerites cuba-1,DNA,GTMO,WILD_CAUGHT
JHU-000366,deinocerites cancer,DNA,GTMO,WILD_CAUGHT
JHU-000367,deinocerites cancer,DNA,GTMO,WILD_CAUGHT
JHU-000368,aedes albopictus,DNA,MECH,WILD_CAUGHT
JHU-000369,aedes albopictus,DNA,MECH,WILD_CAUGHT
JHU-000370,aedes albopictus,DNA,MECH,WILD_CAUGHT
JHU-000371,aedes albopictus,Human,MECH,WILD_CAUGHT
JHU-000372,aedes albopictus,Human,MECH,WILD_CAUGHT
JHU-000373,aedes albopictus,DNA,MECH,WILD_CAUGHT
JHU-000374,anopheles quadrimaculatus,DNA,MECH,WILD_CAUGHT
JHU-000375,anopheles quadrimaculatus,DNA,MECH,WILD_CAUGHT
JHU-000376,psorophora columbiae,DNA,MECH,WILD_CAUGHT
JHU-000377,aedes vexans,DNA,MECH,WILD_CAUGHT
JHU-000378,aedes vexans,DNA,MECH,WILD_CAUGHT
JHU-000379,aedes vexans,DNA,MECH,WILD_CAUGHT
JHU-000380,aedes albopictus,DNA,MECH,WILD_CAUGHT
JHU-000381,aedes albopictus,DNA,MECH,WILD_CAUGHT
JHU-000382,aedes albopictus,DNA,MECH,WILD_CAUGHT
JHU-000383,culex pipiens,DNA,MYER,WILD_CAUGHT
JHU-000384,aedes aegypti,DNA,MYER,WILD_CAUGHT
JHU-000385,aedes albopictus,Human,MYER,WILD_CAUGHT
JHU-000386,culex restuans,DNA,HEND,WILD_CAUGHT
JHU-000387,anopheles quadrimaculatus,DNA,HEND,WILD_CAUGHT
JHU-000388,culex salinarius,DNA,HEND,WILD_CAUGHT
JHU-000389,aedes albopictus,DNA,HEND,WILD_CAUGHT
JHU-000390,aedes albopictus,DNA,HEND,WILD_CAUGHT
JHU-000391,aedes albopictus,DNA,HEND,WILD_CAUGHT
JHU-000392,aedes albopictus,DNA,HEND,WILD_CAUGHT
JHU-000393,aedes albopictus,DNA,HEND,WILD_CAUGHT
JHU-000394,aedes albopictus,DNA,HAML,WILD_CAUGHT
JHU-000395,culex pipiens,DNA,HAML,WILD_CAUGHT
JHU-000396,aedes albopictus,DNA,HAML,WILD_CAUGHT
JHU-000397,aedes albopictus,DNA,HAML,WILD_CAUGHT
JHU-000398,aedes albopictus,DNA,PHIL,WILD_CAUGHT
JHU-000399,aedes albopictus,DNA,PHIL,WILD_CAUGHT
JHU-000400,aedes albopictus,DNA,ANMC,WILD_CAUGHT
JHU-000401,aedes albopictus,DNA,ANMC,WILD_CAUGHT
JHU-000402,aedes albopictus,DNA,ANMC,WILD_CAUGHT
JHU-000403,aedes albopictus,DNA,ANMC,WILD_CAUGHT
JHU-000404,aedes albopictus,DNA,ANMC,WILD_CAUGHT
JHU-000405,culex pipiens,DNA,ANMC,WILD_CAUGHT
